ID,type,name,enter_datetime,exit_datetime,distance,time,speed,order_distance,order_time,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
s10,Customer Station,Wat Kai Tia Pier,10:03.9,1/18/2025 4:30,83,,5.756793478,,,,,tbr3,o1,River
Start,Start,Start,45:00.0,1/13/2025 17:45,0,0,0,,,,,tbr4,o1,River
s2,Barge Change,3-Bang Hua Suea Pier,45:00.0,1/13/2025 19:45,72.65642859,7.568377978,9.6,,,,,tbr4,o1,River
s10,Customer Station,Wat Kai Tia Pier,38:20.0,1/18/2025 23:30,83,,5.976,,,,,tbr4,o1,River
Start,Start,Start,45:00.0,1/13/2025 17:45,0,0,0,,,,,tbr5,o1,River
s2,Barge Change,3-Bang Hua Suea Pier,45:00.0,1/13/2025 19:45,72.65642859,7.490353463,9.7,,,,,tbr5,o1,River
s10,Customer Station,Wat Kai Tia Pier,37:18.0,1/19/2025 17:15,83,,5.983423913,,,,,tbr5,o1,River
Start,Start,Start,15:00.0,1/13/2025 0:15,0,0,0,,,,,tbs1,o2,Sea
Barge,Barge,Barge Location,15:00.0,1/14/2025 7:30,83,6.916666667,12,3.278423357,0.356885425,9.186206897,00:00.0,tbs1,o2,Sea
o2,Start Order,carrier2,00:00.0,1/14/2025 16:30,3.278423357,,9.186206897,,,,,tbs1,o2,Sea
s2,Appointment,3-Bang Hua Suea Pier,15:00.0,1/18/2025 16:15,62.67749061,,7.013793103,,,,,tbs1,o2,Sea
Start,Start,Start,45:00.0,1/13/2025 6:45,0,0,0,,,,,tbs2,o2,Sea
Barge,Barge,Barge Location,45:00.0,1/13/2025 22:00,83,6.916666667,12,158.112239,17.11845107,9.236363636,07:06.4,tbs2,o2,Sea
o2,Start Order,carrier2,07:06.4,1/15/2025 0:00,158.112239,,9.236363636,,,,,tbs2,o2,Sea
s2,Appointment,3-Bang Hua Suea Pier,30:00.0,1/18/2025 15:15,62.67749061,,7.236363636,,,,,tbs2,o2,Sea
Start,Start,Start,45:00.0,1/13/2025 10:45,0,0,0,,,,,tbs4,o2,Sea
Barge,Barge,Barge Location,30:00.0,1/14/2025 3:30,83,7.545454545,11,158.112239,18.67467389,8.466666667,18:12.5,tbs4,o2,Sea
o2,Start Order,carrier2,18:12.5,1/15/2025 8:00,158.112239,,8.466666667,,,,,tbs4,o2,Sea
s2,Appointment,3-Bang Hua Suea Pier,15:00.0,1/18/2025 23:30,62.67749061,,6.633333333,,,,,tbs4,o2,Sea
Start,Start,Start,45:00.0,1/13/2025 10:45,0,0,0,,,,,tbs5,o2,Sea
Barge,Barge,Barge Location,30:00.0,1/14/2025 3:30,83,7.545454545,11,158.112239,18.67467389,8.466666667,18:12.5,tbs5,o2,Sea
o2,Start Order,carrier2,18:12.5,1/15/2025 13:00,158.112239,,8.466666667,,,,,tbs5,o2,Sea
s2,Appointment,3-Bang Hua Suea Pier,00:00.0,1/19/2025 17:15,62.67749061,,6.8,,,,,tbs5,o2,Sea
Start,Start,Start,15:00.0,1/16/2025 12:15,0,0,0,,,,,tbr1,o2,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/16/2025 14:15,0,0,10,,,,,tbr1,o2,River
s11,Customer Station,Sam Khok Pier,56:48.7,1/17/2025 14:00,83,,6.059782609,,,,,tbr1,o2,River
Start,Start,Start,30:00.0,1/17/2025 8:30,0,0,0,,,,,tbr2,o2,River
s2,Barge Change,3-Bang Hua Suea Pier,30:00.0,1/17/2025 10:30,0,0,10,,,,,tbr2,o2,River
s11,Customer Station,Sam Khok Pier,03:03.7,1/18/2025 11:15,83,,6.125,,,,,tbr2,o2,River
Start,Start,Start,30:00.0,1/18/2025 3:30,0,0,0,,,,,tbr3,o2,River
s2,Barge Change,3-Bang Hua Suea Pier,30:00.0,1/18/2025 5:30,0,0,9.5,,,,,tbr3,o2,River
s11,Customer Station,Sam Khok Pier,55:03.9,1/19/2025 7:15,83,,5.756793478,,,,,tbr3,o2,River
Start,Start,Start,30:00.0,1/18/2025 22:30,0,0,0,,,,,tbr4,o2,River
s2,Barge Change,3-Bang Hua Suea Pier,30:00.0,1/19/2025 0:30,0,0,9.6,,,,,tbr4,o2,River
s11,Customer Station,Sam Khok Pier,23:20.0,1/20/2025 3:15,83,,5.976,,,,,tbr4,o2,River
Start,Start,Start,15:00.0,1/19/2025 16:15,0,0,0,,,,,tbr5,o2,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/19/2025 18:15,0,0,9.7,,,,,tbr5,o2,River
s11,Customer Station,Sam Khok Pier,07:18.0,1/20/2025 22:00,83,,5.983423913,,,,,tbr5,o2,River
Start,Start,Start,15:00.0,1/18/2025 15:15,0,0,0,,,,,tbr6,o2,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/18/2025 17:15,83,8.469387755,9.8,,,,,tbr6,o2,River
s11,Customer Station,Sam Khok Pier,51:19.6,1/21/2025 18:00,83,,6.1005,,,,,tbr6,o2,River
Start,Start,Start,30:00.0,1/17/2025 22:30,0,0,0,,,,,tbr7,o2,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/19/2025 8:00,72.65642859,7.339033191,9.9,,,,,tbr7,o2,River
s11,Customer Station,Sam Khok Pier,30:07.1,1/22/2025 14:00,87,,5.999184783,,,,,tbr7,o2,River
